Name,Alter,Geburtsjahr,Ergebnis
Mueco,33,1992,"Hallo Mueco, du bist volljährig!Dein geschätztes Geburtsjahr: 1992"
Mueco,33,1992,"Hallo Mueco, du bist volljährig!Dein geschätztes Geburtsjahr: 1992"
Mueco,33,1992,"Hallo Mueco, du bist volljährig!Dein geschätztes Geburtsjahr: 1992"
Mueco,33,1992,"Hallo Mueco, du bist volljährig!Dein geschätztes Geburtsjahr: 1992"
"Mueco Ak",40,1985,"Hallo Mueco Ak, du bist volljährig!Dein geschätztes Geburtsjahr: 1985"
Hans,35,1990,"Hallo Hans, du bist volljährig!Dein geschätztes Geburtsjahr: 1990"
Akargöl,45,1980,"Hallo Akargöl, du bist volljährig!Dein geschätztes Geburtsjahr: 1980"
Akargöl,45,1980,"Hallo Akargöl, du bist volljährig!Dein geschätztes Geburtsjahr: 1980"
Akargöl,45,1980,"Hallo Akargöl, du bist volljährig!Dein geschätztes Geburtsjahr: 1980"
Akargöl,45,1980,"Hallo Akargöl, du bist volljährig!Dein geschätztes Geburtsjahr: 1980"
Akargöl,45,1980,"Hallo Akargöl, du bist volljährig!Dein geschätztes Geburtsjahr: 1980"
Akargöl,45,1980,"Hallo Akargöl, du bist volljährig!Dein geschätztes Geburtsjahr: 1980"
dsadsa,232,1793,"Ungültiges Alter!Dein geschätztes Geburtsjahr: 1793"
dsadsa,3243434324,-3243432299,"Ungültiges Alter!Dein geschätztes Geburtsjahr: -3243432299"
